"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2021","72.4043","72.3589","72.7185","72.3476","","0.06%"
"10/05/2021","72.3589","72.4976","72.6751","72.2749","","-0.19%"
"10/04/2021","72.4976","72.7254","72.9952","72.4194","","-0.31%"
"10/01/2021","72.7254","72.7514","73.2325","72.6676","","-0.04%"
"09/30/2021","72.7514","72.8545","72.9512","72.5948","","-0.14%"
"09/29/2021","72.8545","72.7750","72.9402","72.6216","","0.11%"
"09/28/2021","72.7750","72.5378","73.0239","72.4113","","0.33%"
"09/27/2021","72.5378","72.7358","72.7358","72.4467","","-0.27%"
"09/24/2021","72.7358","72.8258","73.0719","72.7116","","-0.12%"
"09/23/2021","72.8258","73.0185","73.0185","72.5741","","-0.26%"
"09/22/2021","73.0185","73.0868","73.1085","72.6134","","-0.09%"
"09/21/2021","73.0868","73.4628","73.5050","72.9684","","-0.51%"
"09/20/2021","73.4628","72.8628","73.6184","72.8525","","0.82%"
"09/17/2021","72.8628","72.5456","72.9395","72.4713","","0.44%"
"09/16/2021","72.5456","72.2914","72.6210","72.2914","","0.35%"
"09/15/2021","72.2914","72.9103","73.0708","72.2500","","-0.85%"
"09/14/2021","72.9103","72.6412","72.9804","72.5727","","0.37%"
"09/13/2021","72.6412","73.1879","73.2159","72.6395","","-0.75%"
"09/10/2021","73.1879","72.9789","73.2142","72.6897","","0.29%"
"09/09/2021","72.9789","73.1484","73.2935","72.8278","","-0.23%"
"09/08/2021","73.1484","73.2829","73.5275","73.1484","","-0.18%"
"09/07/2021","73.2829","72.9965","73.3836","72.9249","","0.39%"
"09/06/2021","72.9965","72.7310","73.0583","72.7222","","0.37%"
"09/03/2021","72.7310","72.8758","72.9285","72.5841","","-0.20%"
"09/02/2021","72.8758","72.9640","73.0525","72.7032","","-0.12%"
"09/01/2021","72.9640","73.2274","73.2905","72.8046","","-0.36%"
"08/31/2021","73.2274","73.5048","73.5062","73.2035","","-0.38%"
"08/30/2021","73.5048","73.5902","73.6822","73.4352","","-0.06%"
"08/27/2021","73.5503","74.0789","74.1983","73.5448","","-0.92%"
"08/26/2021","74.2299","74.0996","74.4626","73.9412","","0.40%"
"08/25/2021","73.9352","73.8391","74.0894","73.6679","","0.27%"
"08/24/2021","73.7360","74.0175","74.0500","73.7228","","-0.56%"
"08/23/2021","74.1489","74.0186","74.1906","74.0173","","-0.16%"
"08/20/2021","74.2646","74.1926","74.5781","74.1926","","0.13%"
"08/19/2021","74.1661","74.0347","74.3458","74.0199","","0.46%"
"08/18/2021","73.8237","73.4047","73.8640","73.3572","","0.34%"
"08/17/2021","73.5720","73.4278","73.6225","73.3534","","0.45%"
"08/16/2021","73.2434","73.3934","73.4915","73.2375","","0.03%"
"08/13/2021","73.2193","73.6186","73.6267","73.1743","","-0.53%"
"08/12/2021","73.6110","73.4633","73.6746","73.3668","","0.32%"
"08/11/2021","73.3795","73.9367","74.1367","73.3563","","-0.74%"
"08/10/2021","73.9234","73.5810","74.0438","73.5190","","0.31%"
"08/09/2021","73.6921","73.5484","73.6999","73.3749","","0.32%"
"08/06/2021","73.4602","73.0759","73.5033","73.0071","","0.51%"
"08/05/2021","73.0848","73.1619","73.2799","73.0025","","-0.08%"
"08/04/2021","73.1440","72.8583","73.2903","72.7248","","0.27%"
"08/03/2021","72.9504","72.9035","73.1885","72.7950","","-0.13%"
"08/02/2021","73.0467","73.1806","73.2176","72.6921","","-0.13%"
"07/30/2021","73.1409","73.3381","73.4310","72.8343","","-0.01%"
"07/29/2021","73.1489","73.2608","73.3425","73.0197","","-0.47%"
"07/28/2021","73.4968","73.6728","73.8333","73.3982","","-0.33%"
"07/27/2021","73.7395","73.8203","73.9364","73.5966","","0.13%"
"07/26/2021","73.6405","74.0210","74.2617","73.6203","","-0.14%"
"07/23/2021","73.7426","73.7149","73.8314","73.5240","","0.06%"
"07/22/2021","73.6974","73.8286","73.9555","73.6070","","-0.42%"
"07/21/2021","74.0119","74.4587","74.5590","73.9118","","-0.47%"
"07/20/2021","74.3593","74.5680","74.7058","74.3000","","-0.39%"
"07/19/2021","74.6509","74.2438","74.7698","74.2323","","0.77%"
"07/16/2021","74.0840","74.3140","74.3140","73.9770","","-0.37%"
"07/15/2021","74.3597","74.2049","74.4376","74.0692","","0.37%"
"07/14/2021","74.0830","74.2088","74.2727","73.9634","","-0.32%"
"07/13/2021","74.3195","74.3425","74.3945","73.8972","","-0.16%"
"07/12/2021","74.4354","74.4563","74.7762","74.3320","","0.11%"
"07/09/2021","74.3555","74.5168","74.7037","74.1805","","-0.56%"
"07/08/2021","74.7731","74.9080","75.3361","74.6445","","0.09%"
"07/07/2021","74.7066","74.1933","74.9029","73.9450","","0.35%"
"07/06/2021","74.4429","73.2464","74.5318","73.1803","","1.32%"
"07/05/2021","73.4725","73.3363","73.5955","73.2409","","0.29%"
"07/02/2021","73.2570","73.4539","73.7773","73.1565","","-0.21%"
"07/01/2021","73.4087","73.1925","73.5094","72.8178","","0.35%"
"06/30/2021","73.1522","72.7928","73.2169","72.6502","","0.53%"
"06/29/2021","72.7672","72.2542","72.8704","72.2535","","0.90%"
"06/28/2021","72.1155","72.2200","72.2860","72.1066","","-0.12%"
"06/25/2021","72.2047","72.1663","72.2695","72.0417","","-0.16%"
"06/24/2021","72.3227","72.4993","72.5133","72.1377","","-0.39%"
"06/23/2021","72.6076","72.8787","72.8788","72.3529","","-0.38%"
"06/22/2021","72.8844","73.0850","73.2912","72.8247","","-0.35%"
"06/21/2021","73.1372","72.9883","73.3248","72.9104","","0.44%"
"06/18/2021","72.8175","72.3759","72.8593","72.0935","","0.68%"
"06/17/2021","72.3255","72.6117","72.6473","72.0933","","-0.38%"
"06/16/2021","72.6047","72.1510","72.6810","71.6702","","0.59%"
